bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1945813,3088054,text,224074,application/pdf,Introduced,https://legiscan.com/WY/text/HB0001/id/3088054,https://www.wyoleg.gov/2025/Introduced/HB0001.pdf
1893485,3029695,text,14043,application/pdf,Introduced,https://legiscan.com/WY/text/HB0002/id/3029695,https://www.wyoleg.gov/2025/Introduced/HB0002.pdf
1893487,3029697,text,14624,application/pdf,Introduced,https://legiscan.com/WY/text/HB0003/id/3029697,https://www.wyoleg.gov/2025/Introduced/HB0003.pdf
1893477,3029687,text,21680,application/pdf,Introduced,https://legiscan.com/WY/text/HB0004/id/3029687,https://www.wyoleg.gov/2025/Introduced/HB0004.pdf
1893477,3106397,text,21788,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0004/id/3106397,https://www.wyoleg.gov/2025/Engross/HB0004.pdf
1893477,3128986,text,18957,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0004/id/3128986,https://www.wyoleg.gov/2025/Enroll/HB0004.pdf
1893473,3029683,text,13105,application/pdf,Introduced,https://legiscan.com/WY/text/HB0005/id/3029683,https://www.wyoleg.gov/2025/Introduced/HB0005.pdf
1893473,3096449,text,16111,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0005/id/3096449,https://www.wyoleg.gov/2025/Engross/HB0005.pdf
1893473,3140354,text,14131,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0005/id/3140354,https://www.wyoleg.gov/2025/Enroll/HB0005.pdf
1893475,3029685,text,10079,application/pdf,Introduced,https://legiscan.com/WY/text/HB0006/id/3029685,https://www.wyoleg.gov/2025/Introduced/HB0006.pdf
1893482,3029692,text,9941,application/pdf,Introduced,https://legiscan.com/WY/text/HB0007/id/3029692,https://www.wyoleg.gov/2025/Introduced/HB0007.pdf
1893490,3029700,text,10551,application/pdf,Introduced,https://legiscan.com/WY/text/HB0008/id/3029700,https://www.wyoleg.gov/2025/Introduced/HB0008.pdf
1894645,3030328,text,11567,application/pdf,Introduced,https://legiscan.com/WY/text/HB0009/id/3030328,https://www.wyoleg.gov/2025/Introduced/HB0009.pdf
1894646,3030329,text,31154,application/pdf,Introduced,https://legiscan.com/WY/text/HB0010/id/3030329,https://www.wyoleg.gov/2025/Introduced/HB0010.pdf
1894655,3030337,text,11330,application/pdf,Introduced,https://legiscan.com/WY/text/HB0011/id/3030337,https://www.wyoleg.gov/2025/Introduced/HB0011.pdf
1894655,3070708,text,11530,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0011/id/3070708,https://www.wyoleg.gov/2025/Engross/HB0011.pdf
1894655,3144151,text,9541,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0011/id/3144151,https://www.wyoleg.gov/2025/Enroll/HB0011.pdf
1894653,3030335,text,17128,application/pdf,Introduced,https://legiscan.com/WY/text/HB0012/id/3030335,https://www.wyoleg.gov/2025/Introduced/HB0012.pdf
1894654,3030336,text,24928,application/pdf,Introduced,https://legiscan.com/WY/text/HB0013/id/3030336,https://www.wyoleg.gov/2025/Introduced/HB0013.pdf
1894650,3030332,text,16512,application/pdf,Introduced,https://legiscan.com/WY/text/HB0014/id/3030332,https://www.wyoleg.gov/2025/Introduced/HB0014.pdf
1894650,3127974,text,13981,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0014/id/3127974,https://www.wyoleg.gov/2025/Enroll/HB0014.pdf
1894647,3030330,text,18877,application/pdf,Introduced,https://legiscan.com/WY/text/HB0015/id/3030330,https://www.wyoleg.gov/2025/Introduced/HB0015.pdf
1894643,3030326,text,37538,application/pdf,Introduced,https://legiscan.com/WY/text/HB0016/id/3030326,https://www.wyoleg.gov/2025/Introduced/HB0016.pdf
1894738,3030505,text,12289,application/pdf,Introduced,https://legiscan.com/WY/text/HB0017/id/3030505,https://www.wyoleg.gov/2025/Introduced/HB0017.pdf
1894738,3132936,text,11436,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0017/id/3132936,https://www.wyoleg.gov/2025/Enroll/HB0017.pdf
1894754,3030517,text,18168,application/pdf,Introduced,https://legiscan.com/WY/text/HB0018/id/3030517,https://www.wyoleg.gov/2025/Introduced/HB0018.pdf
1894754,3147142,text,25057,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0018/id/3147142,https://www.wyoleg.gov/2025/Enroll/HB0018.pdf
1894782,3030537,text,14798,application/pdf,Introduced,https://legiscan.com/WY/text/HB0019/id/3030537,https://www.wyoleg.gov/2025/Introduced/HB0019.pdf
1894879,3030693,text,14029,application/pdf,Introduced,https://legiscan.com/WY/text/HB0020/id/3030693,https://www.wyoleg.gov/2025/Introduced/HB0020.pdf
1894879,3143784,text,12310,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0020/id/3143784,https://www.wyoleg.gov/2025/Enroll/HB0020.pdf
1894852,3030686,text,15446,application/pdf,Introduced,https://legiscan.com/WY/text/HB0021/id/3030686,https://www.wyoleg.gov/2025/Introduced/HB0021.pdf
1894980,3031122,text,13281,application/pdf,Introduced,https://legiscan.com/WY/text/HB0022/id/3031122,https://www.wyoleg.gov/2025/Introduced/HB0022.pdf
1894980,3084406,text,13281,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0022/id/3084406,https://www.wyoleg.gov/2025/Engross/HB0022.pdf
1894980,3128587,text,11614,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0022/id/3128587,https://www.wyoleg.gov/2025/Enroll/HB0022.pdf
1895831,3032059,text,33189,application/pdf,Introduced,https://legiscan.com/WY/text/HB0023/id/3032059,https://www.wyoleg.gov/2025/Introduced/HB0023.pdf
1895831,3092958,text,33385,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0023/id/3092958,https://www.wyoleg.gov/2025/Engross/HB0023.pdf
1895831,3129516,text,29961,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0023/id/3129516,https://www.wyoleg.gov/2025/Enroll/HB0023.pdf
1895840,3032065,text,31326,application/pdf,Introduced,https://legiscan.com/WY/text/HB0024/id/3032065,https://www.wyoleg.gov/2025/Introduced/HB0024.pdf
1895832,3032060,text,15632,application/pdf,Introduced,https://legiscan.com/WY/text/HB0025/id/3032060,https://www.wyoleg.gov/2025/Introduced/HB0025.pdf
1895832,3084412,text,16260,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0025/id/3084412,https://www.wyoleg.gov/2025/Engross/HB0025.pdf
1895832,3121936,text,14268,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0025/id/3121936,https://www.wyoleg.gov/2025/Enroll/HB0025.pdf
1895838,3032064,text,10915,application/pdf,Introduced,https://legiscan.com/WY/text/HB0026/id/3032064,https://www.wyoleg.gov/2025/Introduced/HB0026.pdf
1895837,3032063,text,10030,application/pdf,Introduced,https://legiscan.com/WY/text/HB0027/id/3032063,https://www.wyoleg.gov/2025/Introduced/HB0027.pdf
1895837,3092856,text,10077,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0027/id/3092856,https://www.wyoleg.gov/2025/Engross/HB0027.pdf
1895837,3124242,text,9019,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0027/id/3124242,https://www.wyoleg.gov/2025/Enroll/HB0027.pdf
1895835,3032062,text,21504,application/pdf,Introduced,https://legiscan.com/WY/text/HB0028/id/3032062,https://www.wyoleg.gov/2025/Introduced/HB0028.pdf
1895835,3144121,text,29115,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0028/id/3144121,https://www.wyoleg.gov/2025/Enroll/HB0028.pdf
1895829,3032058,text,10164,application/pdf,Introduced,https://legiscan.com/WY/text/HB0029/id/3032058,https://www.wyoleg.gov/2025/Introduced/HB0029.pdf
1895827,3032057,text,21506,application/pdf,Introduced,https://legiscan.com/WY/text/HB0030/id/3032057,https://www.wyoleg.gov/2025/Introduced/HB0030.pdf
1895827,3084365,text,21664,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0030/id/3084365,https://www.wyoleg.gov/2025/Engross/HB0030.pdf
1895827,3127955,text,19024,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0030/id/3127955,https://www.wyoleg.gov/2025/Enroll/HB0030.pdf
1895987,3032323,text,11740,application/pdf,Introduced,https://legiscan.com/WY/text/HB0031/id/3032323,https://www.wyoleg.gov/2025/Introduced/HB0031.pdf
1895987,3096879,text,12185,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0031/id/3096879,https://www.wyoleg.gov/2025/Engross/HB0031.pdf
1895973,3032309,text,14938,application/pdf,Introduced,https://legiscan.com/WY/text/HB0032/id/3032309,https://www.wyoleg.gov/2025/Introduced/HB0032.pdf
1895973,3067581,text,15067,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0032/id/3067581,https://www.wyoleg.gov/2025/Engross/HB0032.pdf
1895973,3154061,text,13423,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0032/id/3154061,https://www.wyoleg.gov/2025/Enroll/HB0032.pdf
1896451,3032889,text,12411,application/pdf,Introduced,https://legiscan.com/WY/text/HB0033/id/3032889,https://www.wyoleg.gov/2025/Introduced/HB0033.pdf
1896451,3144841,text,11861,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0033/id/3144841,https://www.wyoleg.gov/2025/Enroll/HB0033.pdf
1896563,3032990,text,23307,application/pdf,Introduced,https://legiscan.com/WY/text/HB0034/id/3032990,https://www.wyoleg.gov/2025/Introduced/HB0034.pdf
1896796,3033468,text,41124,application/pdf,Introduced,https://legiscan.com/WY/text/HB0035/id/3033468,https://www.wyoleg.gov/2025/Introduced/HB0035.pdf
1896828,3033497,text,14254,application/pdf,Introduced,https://legiscan.com/WY/text/HB0036/id/3033497,https://www.wyoleg.gov/2025/Introduced/HB0036.pdf
1896828,3092959,text,10346,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0036/id/3092959,https://www.wyoleg.gov/2025/Engross/HB0036.pdf
1896828,3144866,text,19633,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0036/id/3144866,https://www.wyoleg.gov/2025/Enroll/HB0036.pdf
1896806,3033477,text,9869,application/pdf,Introduced,https://legiscan.com/WY/text/HB0037/id/3033477,https://www.wyoleg.gov/2025/Introduced/HB0037.pdf
1896817,3033488,text,10311,application/pdf,Introduced,https://legiscan.com/WY/text/HB0038/id/3033488,https://www.wyoleg.gov/2025/Introduced/HB0038.pdf
1896817,3135738,text,9414,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0038/id/3135738,https://www.wyoleg.gov/2025/Enroll/HB0038.pdf
1896833,3033501,text,15065,application/pdf,Introduced,https://legiscan.com/WY/text/HB0039/id/3033501,https://www.wyoleg.gov/2025/Introduced/HB0039.pdf
1896833,3139607,text,13331,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0039/id/3139607,https://www.wyoleg.gov/2025/Enroll/HB0039.pdf
1896810,3033481,text,24848,application/pdf,Introduced,https://legiscan.com/WY/text/HB0040/id/3033481,https://www.wyoleg.gov/2025/Introduced/HB0040.pdf
1896810,3132963,text,22399,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0040/id/3132963,https://www.wyoleg.gov/2025/Enroll/HB0040.pdf
1896839,3033506,text,13840,application/pdf,Introduced,https://legiscan.com/WY/text/HB0041/id/3033506,https://www.wyoleg.gov/2025/Introduced/HB0041.pdf
1896839,3084404,text,13842,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0041/id/3084404,https://www.wyoleg.gov/2025/Engross/HB0041.pdf
1896839,3128932,text,11944,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0041/id/3128932,https://www.wyoleg.gov/2025/Enroll/HB0041.pdf
1896928,3033730,text,23960,application/pdf,Introduced,https://legiscan.com/WY/text/HB0042/id/3033730,https://www.wyoleg.gov/2025/Introduced/HB0042.pdf
1896928,3092644,text,24261,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0042/id/3092644,https://www.wyoleg.gov/2025/Engross/HB0042.pdf
1896928,3138880,text,20384,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0042/id/3138880,https://www.wyoleg.gov/2025/Enroll/HB0042.pdf
1896910,3033718,text,26191,application/pdf,Introduced,https://legiscan.com/WY/text/HB0043/id/3033718,https://www.wyoleg.gov/2025/Introduced/HB0043.pdf
1896910,3092591,text,26638,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0043/id/3092591,https://www.wyoleg.gov/2025/Engross/HB0043.pdf
1896910,3153026,text,21830,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0043/id/3153026,https://www.wyoleg.gov/2025/Enroll/HB0043.pdf
1896877,3033697,text,10235,application/pdf,Introduced,https://legiscan.com/WY/text/HB0044/id/3033697,https://www.wyoleg.gov/2025/Introduced/HB0044.pdf
1896944,3033742,text,9237,application/pdf,Introduced,https://legiscan.com/WY/text/HB0045/id/3033742,https://www.wyoleg.gov/2025/Introduced/HB0045.pdf
1896944,3129476,text,8540,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0045/id/3129476,https://www.wyoleg.gov/2025/Enroll/HB0045.pdf
1897090,3033862,text,11114,application/pdf,Introduced,https://legiscan.com/WY/text/HB0046/id/3033862,https://www.wyoleg.gov/2025/Introduced/HB0046.pdf
1897090,3138882,text,10125,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0046/id/3138882,https://www.wyoleg.gov/2025/Enroll/HB0046.pdf
1897143,3033912,text,10463,application/pdf,Introduced,https://legiscan.com/WY/text/HB0047/id/3033912,https://www.wyoleg.gov/2025/Introduced/HB0047.pdf
1897143,3074648,text,14005,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0047/id/3074648,https://www.wyoleg.gov/2025/Engross/HB0047.pdf
1897206,3033991,text,19995,application/pdf,Introduced,https://legiscan.com/WY/text/HB0048/id/3033991,https://www.wyoleg.gov/2025/Introduced/HB0048.pdf
1897212,3033996,text,60506,application/pdf,Introduced,https://legiscan.com/WY/text/HB0049/id/3033996,https://www.wyoleg.gov/2025/Introduced/HB0049.pdf
1897187,3033978,text,10119,application/pdf,Introduced,https://legiscan.com/WY/text/HB0050/id/3033978,https://www.wyoleg.gov/2025/Introduced/HB0050.pdf
1897190,3033980,text,12566,application/pdf,Introduced,https://legiscan.com/WY/text/HB0051/id/3033980,https://www.wyoleg.gov/2025/Introduced/HB0051.pdf
1897179,3033971,text,11521,application/pdf,Introduced,https://legiscan.com/WY/text/HB0052/id/3033971,https://www.wyoleg.gov/2025/Introduced/HB0052.pdf
1897210,3033994,text,11672,application/pdf,Introduced,https://legiscan.com/WY/text/HB0053/id/3033994,https://www.wyoleg.gov/2025/Introduced/HB0053.pdf
1897196,3033985,text,14665,application/pdf,Introduced,https://legiscan.com/WY/text/HB0054/id/3033985,https://www.wyoleg.gov/2025/Introduced/HB0054.pdf
1897196,3098334,text,15605,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0054/id/3098334,https://www.wyoleg.gov/2025/Engross/HB0054.pdf
1897196,3129563,text,13988,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0054/id/3129563,https://www.wyoleg.gov/2025/Enroll/HB0054.pdf
1897200,3033987,text,24266,application/pdf,Introduced,https://legiscan.com/WY/text/HB0055/id/3033987,https://www.wyoleg.gov/2025/Introduced/HB0055.pdf
1897182,3033974,text,9696,application/pdf,Introduced,https://legiscan.com/WY/text/HB0056/id/3033974,https://www.wyoleg.gov/2025/Introduced/HB0056.pdf
1897396,3034217,text,15762,application/pdf,Introduced,https://legiscan.com/WY/text/HB0057/id/3034217,https://www.wyoleg.gov/2025/Introduced/HB0057.pdf
1897402,3034223,text,11704,application/pdf,Introduced,https://legiscan.com/WY/text/HB0058/id/3034223,https://www.wyoleg.gov/2025/Introduced/HB0058.pdf
1897433,3034253,text,12583,application/pdf,Introduced,https://legiscan.com/WY/text/HB0059/id/3034253,https://www.wyoleg.gov/2025/Introduced/HB0059.pdf
1897425,3034245,text,20776,application/pdf,Introduced,https://legiscan.com/WY/text/HB0060/id/3034245,https://www.wyoleg.gov/2025/Introduced/HB0060.pdf
1897425,3096871,text,22540,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0060/id/3096871,https://www.wyoleg.gov/2025/Engross/HB0060.pdf
1897409,3034230,text,10533,application/pdf,Introduced,https://legiscan.com/WY/text/HB0061/id/3034230,https://www.wyoleg.gov/2025/Introduced/HB0061.pdf
1897409,3092953,text,10569,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0061/id/3092953,https://www.wyoleg.gov/2025/Engross/HB0061.pdf
1897409,3128470,text,9587,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0061/id/3128470,https://www.wyoleg.gov/2025/Enroll/HB0061.pdf
1897417,3034237,text,12147,application/pdf,Introduced,https://legiscan.com/WY/text/HB0062/id/3034237,https://www.wyoleg.gov/2025/Introduced/HB0062.pdf
1897417,3092692,text,12270,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0062/id/3092692,https://www.wyoleg.gov/2025/Engross/HB0062.pdf
1897417,3151154,text,11703,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0062/id/3151154,https://www.wyoleg.gov/2025/Enroll/HB0062.pdf
1897430,3034250,text,13300,application/pdf,Introduced,https://legiscan.com/WY/text/HB0063/id/3034250,https://www.wyoleg.gov/2025/Introduced/HB0063.pdf
1897430,3092841,text,14503,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0063/id/3092841,https://www.wyoleg.gov/2025/Engross/HB0063.pdf
1897604,3034426,text,16519,application/pdf,Introduced,https://legiscan.com/WY/text/HB0064/id/3034426,https://www.wyoleg.gov/2025/Introduced/HB0064.pdf
1897604,3092686,text,16772,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0064/id/3092686,https://www.wyoleg.gov/2025/Engross/HB0064.pdf
1897604,3143780,text,15251,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0064/id/3143780,https://www.wyoleg.gov/2025/Enroll/HB0064.pdf
1898171,3034986,text,13561,application/pdf,Introduced,https://legiscan.com/WY/text/HB0065/id/3034986,https://www.wyoleg.gov/2025/Introduced/HB0065.pdf
1898231,3035002,text,22030,application/pdf,Introduced,https://legiscan.com/WY/text/HB0066/id/3035002,https://www.wyoleg.gov/2025/Introduced/HB0066.pdf
1898187,3034992,text,11666,application/pdf,Introduced,https://legiscan.com/WY/text/HB0067/id/3034992,https://www.wyoleg.gov/2025/Introduced/HB0067.pdf
1898162,3034984,text,35364,application/pdf,Introduced,https://legiscan.com/WY/text/HB0068/id/3034984,https://www.wyoleg.gov/2025/Introduced/HB0068.pdf
1898214,3034998,text,24013,application/pdf,Introduced,https://legiscan.com/WY/text/HB0069/id/3034998,https://www.wyoleg.gov/2025/Introduced/HB0069.pdf
1898214,3129026,text,19692,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0069/id/3129026,https://www.wyoleg.gov/2025/Enroll/HB0069.pdf
1898227,3035001,text,16473,application/pdf,Introduced,https://legiscan.com/WY/text/HB0070/id/3035001,https://www.wyoleg.gov/2025/Introduced/HB0070.pdf
1898237,3035003,text,14519,application/pdf,Introduced,https://legiscan.com/WY/text/HB0071/id/3035003,https://www.wyoleg.gov/2025/Introduced/HB0071.pdf
1898833,3035732,text,32872,application/pdf,Introduced,https://legiscan.com/WY/text/HB0072/id/3035732,https://www.wyoleg.gov/2025/Introduced/HB0072.pdf
1898833,3109771,text,40543,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0072/id/3109771,https://www.wyoleg.gov/2025/Engross/HB0072.pdf
1898833,3146889,text,32336,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0072/id/3146889,https://www.wyoleg.gov/2025/Enroll/HB0072.pdf
1898852,3035747,text,11533,application/pdf,Introduced,https://legiscan.com/WY/text/HB0073/id/3035747,https://www.wyoleg.gov/2025/Introduced/HB0073.pdf
1898852,3128000,text,9759,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0073/id/3128000,https://www.wyoleg.gov/2025/Enroll/HB0073.pdf
1898844,3035741,text,13433,application/pdf,Introduced,https://legiscan.com/WY/text/HB0074/id/3035741,https://www.wyoleg.gov/2025/Introduced/HB0074.pdf
1898822,3035723,text,11882,application/pdf,Introduced,https://legiscan.com/WY/text/HB0075/id/3035723,https://www.wyoleg.gov/2025/Introduced/HB0075.pdf
1898822,3128525,text,10001,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0075/id/3128525,https://www.wyoleg.gov/2025/Enroll/HB0075.pdf
1898895,3035795,text,11956,application/pdf,Introduced,https://legiscan.com/WY/text/HB0076/id/3035795,https://www.wyoleg.gov/2025/Introduced/HB0076.pdf
1898911,3035811,text,9619,application/pdf,Introduced,https://legiscan.com/WY/text/HB0077/id/3035811,https://www.wyoleg.gov/2025/Introduced/HB0077.pdf
1899708,3036040,text,13380,application/pdf,Introduced,https://legiscan.com/WY/text/HB0078/id/3036040,https://www.wyoleg.gov/2025/Introduced/HB0078.pdf
1899713,3036045,text,12117,application/pdf,Introduced,https://legiscan.com/WY/text/HB0079/id/3036045,https://www.wyoleg.gov/2025/Introduced/HB0079.pdf
1899713,3084840,text,22388,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0079/id/3084840,https://www.wyoleg.gov/2025/Engross/HB0079.pdf
1899713,3148808,text,20496,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0079/id/3148808,https://www.wyoleg.gov/2025/Enroll/HB0079.pdf
1899851,3036309,text,31130,application/pdf,Introduced,https://legiscan.com/WY/text/HB0080/id/3036309,https://www.wyoleg.gov/2025/Introduced/HB0080.pdf
1899851,3076577,text,28992,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0080/id/3076577,https://www.wyoleg.gov/2025/Engross/HB0080.pdf
1899865,3036323,text,9740,application/pdf,Introduced,https://legiscan.com/WY/text/HB0081/id/3036323,https://www.wyoleg.gov/2025/Introduced/HB0081.pdf
1899865,3111137,text,9720,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0081/id/3111137,https://www.wyoleg.gov/2025/Engross/HB0081.pdf
1899885,3036344,text,17266,application/pdf,Introduced,https://legiscan.com/WY/text/HB0082/id/3036344,https://www.wyoleg.gov/2025/Introduced/HB0082.pdf
1899885,3128832,text,15677,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0082/id/3128832,https://www.wyoleg.gov/2025/Enroll/HB0082.pdf
1899979,3036458,text,11466,application/pdf,Introduced,https://legiscan.com/WY/text/HB0083/id/3036458,https://www.wyoleg.gov/2025/Introduced/HB0083.pdf
1899979,3106412,text,11748,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0083/id/3106412,https://www.wyoleg.gov/2025/Engross/HB0083.pdf
1899979,3150802,text,9846,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0083/id/3150802,https://www.wyoleg.gov/2025/Enroll/HB0083.pdf
1900079,3036556,text,10144,application/pdf,Introduced,https://legiscan.com/WY/text/HB0084/id/3036556,https://www.wyoleg.gov/2025/Introduced/HB0084.pdf
1900013,3036490,text,38965,application/pdf,Introduced,https://legiscan.com/WY/text/HB0085/id/3036490,https://www.wyoleg.gov/2025/Introduced/HB0085.pdf
1900013,3107031,text,32584,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0085/id/3107031,https://www.wyoleg.gov/2025/Engross/HB0085.pdf
1900045,3036522,text,117266,application/pdf,Introduced,https://legiscan.com/WY/text/HB0086/id/3036522,https://www.wyoleg.gov/2025/Introduced/HB0086.pdf
1900045,3097494,text,118013,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0086/id/3097494,https://www.wyoleg.gov/2025/Engross/HB0086.pdf
1900045,3131527,text,103211,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0086/id/3131527,https://www.wyoleg.gov/2025/Enroll/HB0086.pdf
1900329,3036835,text,174744,application/pdf,Introduced,https://legiscan.com/WY/text/HB0087/id/3036835,https://www.wyoleg.gov/2025/Introduced/HB0087.pdf
1900332,3036838,text,10214,application/pdf,Introduced,https://legiscan.com/WY/text/HB0088/id/3036838,https://www.wyoleg.gov/2025/Introduced/HB0088.pdf
1900336,3036842,text,20778,application/pdf,Introduced,https://legiscan.com/WY/text/HB0089/id/3036842,https://www.wyoleg.gov/2025/Introduced/HB0089.pdf
1900349,3036855,text,11572,application/pdf,Introduced,https://legiscan.com/WY/text/HB0090/id/3036855,https://www.wyoleg.gov/2025/Introduced/HB0090.pdf
1900349,3116172,text,11242,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0090/id/3116172,https://www.wyoleg.gov/2025/Engross/HB0090.pdf
1900349,3148476,text,9393,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0090/id/3148476,https://www.wyoleg.gov/2025/Enroll/HB0090.pdf
1900326,3036832,text,16259,application/pdf,Introduced,https://legiscan.com/WY/text/HB0091/id/3036832,https://www.wyoleg.gov/2025/Introduced/HB0091.pdf
1900343,3036849,text,9848,application/pdf,Introduced,https://legiscan.com/WY/text/HB0092/id/3036849,https://www.wyoleg.gov/2025/Introduced/HB0092.pdf
1900343,3087028,text,9733,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0092/id/3087028,https://www.wyoleg.gov/2025/Engross/HB0092.pdf
1900343,3127991,text,8821,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0092/id/3127991,https://www.wyoleg.gov/2025/Enroll/HB0092.pdf
1900345,3036851,text,11760,application/pdf,Introduced,https://legiscan.com/WY/text/HB0093/id/3036851,https://www.wyoleg.gov/2025/Introduced/HB0093.pdf
1900322,3036828,text,11849,application/pdf,Introduced,https://legiscan.com/WY/text/HB0094/id/3036828,https://www.wyoleg.gov/2025/Introduced/HB0094.pdf
1900322,3144884,text,9779,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0094/id/3144884,https://www.wyoleg.gov/2025/Enroll/HB0094.pdf
1900431,3036957,text,33738,application/pdf,Introduced,https://legiscan.com/WY/text/HB0095/id/3036957,https://www.wyoleg.gov/2025/Introduced/HB0095.pdf
1900478,3037001,text,13426,application/pdf,Introduced,https://legiscan.com/WY/text/HB0096/id/3037001,https://www.wyoleg.gov/2025/Introduced/HB0096.pdf
1900478,3079237,text,13558,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0096/id/3079237,https://www.wyoleg.gov/2025/Engross/HB0096.pdf
1900667,3037203,text,22533,application/pdf,Introduced,https://legiscan.com/WY/text/HB0097/id/3037203,https://www.wyoleg.gov/2025/Introduced/HB0097.pdf
1900667,3102475,text,23125,application/pdf,Engrossed,https://legiscan.com/WY/text/HB0097/id/3102475,https://www.wyoleg.gov/2025/Engross/HB0097.pdf
1900667,3140982,text,20693,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0097/id/3140982,https://www.wyoleg.gov/2025/Enroll/HB0097.pdf
1900924,3037524,text,8092,application/pdf,Introduced,https://legiscan.com/WY/text/HB0098/id/3037524,https://www.wyoleg.gov/2025/Introduced/HB0098.pdf
1900888,3037490,text,12065,application/pdf,Introduced,https://legiscan.com/WY/text/HB0099/id/3037490,https://www.wyoleg.gov/2025/Introduced/HB0099.pdf
1900851,3037455,text,16753,application/pdf,Introduced,https://legiscan.com/WY/text/HB0100/id/3037455,https://www.wyoleg.gov/2025/Introduced/HB0100.pdf
1901015,3037629,text,15723,application/pdf,Introduced,https://legiscan.com/WY/text/HB0101/id/3037629,https://www.wyoleg.gov/2025/Introduced/HB0101.pdf
1901047,3037659,text,83239,application/pdf,Introduced,https://legiscan.com/WY/text/HB0102/id/3037659,https://www.wyoleg.gov/2025/Introduced/HB0102.pdf
1900992,3037606,text,12528,application/pdf,Introduced,https://legiscan.com/WY/text/HB0103/id/3037606,https://www.wyoleg.gov/2025/Introduced/HB0103.pdf
1900992,3143608,text,11651,application/pdf,Enrolled,https://legiscan.com/WY/text/HB0103/id/3143608,https://www.wyoleg.gov/2025/Enroll/HB0103.pdf
